episode,reward
1,-688.0
2,-703.0
3,-727.0
4,-667.0
5,-706.0
6,-739.0
7,-661.0
8,-667.0
9,-694.0
10,-727.0
11,-724.0
12,-700.0
13,-667.0
14,-718.0
15,-721.0
16,-739.0
17,-607.0
18,-640.0
19,-637.0
20,-655.0
21,-628.0
22,-631.0
23,-628.0
24,-634.0
25,-676.0
26,-628.0
27,-601.0
28,-601.0
29,-652.0
30,-610.0
31,-658.0
32,-595.0
33,-577.0
34,-562.0
35,-520.0
36,-538.0
37,-517.0
38,-523.0
39,-517.0
40,-532.0
41,-535.0
42,-499.0
43,-472.0
44,-469.0
45,-487.0
46,-478.0
47,-511.0
48,-520.0
49,-418.0
50,-409.0
51,-421.0
52,-415.0
53,-361.0
54,-421.0
55,-382.0
56,-436.0
57,-427.0
58,-418.0
59,-466.0
60,-454.0
61,-373.0
62,-469.0
63,-487.0
64,-358.0
65,-298.0
66,-319.0
67,-340.0
68,-280.0
69,-283.0
70,-241.0
71,-295.0
72,-277.0
73,-202.0
74,-274.0
75,-223.0
76,-274.0
77,-268.0
78,-190.0
79,-283.0
80,-262.0
81,-217.0
82,-178.0
83,-139.0
84,-109.0
85,-79.0
86,-73.0
87,-37.0
88,-34.0
89,-64.0
90,-76.0
91,-106.0
92,-79.0
93,-112.0
94,-118.0
95,-70.0
96,-46.0
97,-28.0
98,-28.0
99,-7.0
100,-28.0
101,-9.716882
102,50.739414
103,128.0
104,95.0
105,113.0
106,101.0
107,107.0
108,86.0
109,82.471534
110,-18.557853
111,8.225812
112,83.0
113,98.413073
114,71.0
115,74.0
